Date,P_I,EU_H,C_H,SO_I,CFNAI,CFNAI_MA3,DIFFUSION
1967:03,-0.25,-0.07,-0.01,-0.01,-0.34,,
1967:04,0.16,-0.10,0.01,-0.08,0.00,,
1967:05,-0.42,0.01,-0.06,-0.08,-0.55,-0.30,-0.17
1967:06,-0.09,0.03,0.08,0.01,0.04,-0.17,-0.16
1967:07,-0.18,0.09,-0.07,-0.16,-0.32,-0.28,-0.23
1967:08,0.58,0.21,-0.02,0.22,1.00,0.24,0.14
1967:09,-0.05,-0.05,0.13,-0.08,-0.05,0.21,0.11
1967:10,0.21,0.00,-0.12,-0.07,0.01,0.32,0.16
1967:11,0.52,0.32,0.10,0.37,1.32,0.43,0.20
1967:12,0.33,0.15,0.15,0.35,0.98,0.77,0.49
1968:01,-0.09,-0.21,-0.04,-0.12,-0.46,0.61,0.41
1968:02,0.12,0.34,0.03,-0.09,0.41,0.31,0.29
1968:03,0.07,0.05,0.17,0.08,0.38,0.11,0.19
1968:04,0.04,0.16,-0.04,-0.05,0.11,0.30,0.32
1968:05,0.35,0.17,0.05,0.07,0.64,0.38,0.33
1968:06,0.04,0.07,0.09,0.07,0.26,0.34,0.31
1968:07,-0.10,0.11,0.10,0.12,0.22,0.37,0.30
1968:08,0.14,0.12,0.05,-0.29,0.01,0.17,0.25
1968:09,0.05,0.15,-0.06,0.33,0.47,0.23,0.29
1968:10,0.12,0.18,0.09,0.16,0.54,0.34,0.46
1968:11,0.43,0.18,0.11,0.07,0.79,0.60,0.55
1968:12,0.00,0.15,-0.04,-0.11,0.00,0.44,0.47
1969:01,0.20,0.08,0.11,-0.08,0.32,0.37,0.44
1969:02,0.20,0.19,0.08,0.02,0.49,0.27,0.40
1969:03,0.27,0.18,-0.05,0.09,0.48,0.43,0.51
1969:04,-0.22,0.10,0.05,0.12,0.04,0.34,0.41
1969:05,-0.15,0.11,0.08,-0.07,-0.02,0.17,0.26
1969:06,0.25,0.17,-0.04,-0.02,0.36,0.12,0.20
1969:07,0.20,0.02,-0.03,-0.03,0.16,0.16,0.20
1969:08,-0.01,0.17,0.08,0.19,0.44,0.32,0.28
1969:09,-0.07,-0.13,0.05,0.06,-0.10,0.17,0.09
1969:10,-0.05,0.05,0.04,0.15,0.19,0.18,0.08
1969:11,-0.40,-0.07,-0.06,-0.27,-0.80,-0.23,-0.16
1969:12,-0.16,0.04,-0.02,-0.10,-0.23,-0.28,-0.15
1970:01,-0.75,-0.25,-0.03,-0.29,-1.33,-0.79,-0.43
1970:02,-0.07,-0.06,0.02,-0.04,-0.15,-0.57,-0.36
1970:03,-0.14,-0.08,-0.10,-0.26,-0.57,-0.68,-0.48
1970:04,-0.19,-0.32,0.01,-0.19,-0.69,-0.47,-0.45
1970:05,-0.14,-0.36,0.06,0.12,-0.32,-0.53,-0.50
1970:06,-0.15,-0.20,0.04,0.05,-0.27,-0.43,-0.44
